Unnamed: 0,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,7/11/20 9:43,photo,studying,negative,0,0.0,1.0,-0.5994,-0.5994,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17/6/21 12:22,photo,studying,negative,10,0.0,1.0,-0.3818,-0.3818,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18/4/21 5:13,photo,studying,negative,15,0.0,1.0,-0.4404,-0.4404,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,6.0
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,6/1/21 19:13,photo,studying,negative,0,0.0,1.0,-0.5994,-0.5994,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23/8/20 12:25,photo,studying,positive,30,1.0,0.0,0.4019,0.4019,1.0,100.0,40.400000000000006,1.0,1.0,1.0,4.0,0.0,10.0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,7/12/20 6:27,photo,studying,neutral,35,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11/4/21 17:35,photo,studying,positive,70,1.0,0.0,0.3818,0.3818,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27/1/21 8:32,photo,studying,negative,5,0.0,1.0,-0.5719,-0.5719,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,4.0
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,1/4/21 22:54,photo,studying,neutral,35,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,4/8/20 5:05,photo,studying,positive,65,1.0,0.0,0.6369,0.6369,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,4.0
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,7/11/20 8:36,photo,studying,neutral,20,0.0,1.0,-0.2023,-0.2023,1.0,100.0,40.400000000000006,1.0,1.0,1.0,4.0,0.0,11.0
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2/11/20 6:28,photo,studying,negative,15,0.0,1.0,-0.4404,-0.4404,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,6.0
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,1/11/20 1:16,photo,studying,positive,30,1.0,0.0,0.4019,0.4019,1.0,100.0,40.400000000000006,1.0,1.0,1.0,4.0,0.0,10.0
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,7/10/20 18:39,photo,studying,negative,5,0.0,1.0,-0.5719,-0.5719,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,4.0
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,3/9/20 18:51,photo,studying,negative,15,0.0,1.0,-0.4404,-0.4404,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,6.0
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/2/21 5:09,photo,studying,positive,75,1.0,0.0,0.8442,0.8442,2.0,0.0,0.8,2.0,0.0,2.0,1.5,0.0,4.5
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23/9/20 6:24,photo,studying,neutral,35,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24/2/21 11:37,photo,studying,neutral,20,0.0,1.0,-0.2023,-0.2023,1.0,100.0,40.400000000000006,1.0,1.0,1.0,4.0,0.0,11.0
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22/5/21 19:44,photo,studying,positive,30,1.0,0.0,0.4019,0.4019,1.0,100.0,40.400000000000006,1.0,1.0,1.0,4.0,0.0,10.0
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31/1/21 16:03,photo,studying,positive,45,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,9.0
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20/11/20 17:26,photo,studying,neutral,35,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11/4/21 20:47,photo,studying,negative,12,0.0,1.0,-0.296,-0.296,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13/6/21 16:46,photo,studying,positive,50,1.0,0.0,0.3612,0.3612,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,4.0
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11/4/21 14:29,photo,studying,positive,60,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,5.0
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2/3/21 19:21,photo,studying,negative,12,0.0,1.0,-0.296,-0.296,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27/6/20 18:44,photo,studying,negative,5,0.0,1.0,-0.5719,-0.5719,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,4.0
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,9/5/21 21:05,photo,studying,negative,5,0.0,1.0,-0.5719,-0.5719,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,4.0
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/8/20 23:58,photo,studying,positive,70,1.0,0.0,0.3818,0.3818,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28/8/20 3:57,photo,studying,positive,75,1.0,0.0,0.8442,0.8442,2.0,0.0,0.8,2.0,0.0,2.0,1.5,0.0,4.5
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25/8/20 8:21,photo,studying,positive,45,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,9.0
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20/4/21 23:48,photo,studying,negative,15,0.0,1.0,-0.4404,-0.4404,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,6.0
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/3/21 12:40,photo,studying,positive,30,1.0,0.0,0.4019,0.4019,1.0,100.0,40.400000000000006,1.0,1.0,1.0,4.0,0.0,10.0
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24/5/21 3:21,photo,studying,neutral,20,0.0,1.0,-0.2023,-0.2023,1.0,100.0,40.400000000000006,1.0,1.0,1.0,4.0,0.0,11.0
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/1/21 11:03,photo,studying,positive,75,1.0,0.0,0.8442,0.8442,2.0,0.0,0.8,2.0,0.0,2.0,1.5,0.0,4.5
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,9/4/21 2:46,photo,studying,negative,0,0.0,1.0,-0.5994,-0.5994,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/21 3:43,photo,studying,positive,75,1.0,0.0,0.8442,0.8442,2.0,0.0,0.8,2.0,0.0,2.0,1.5,0.0,4.5
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,4/2/21 3:06,photo,studying,positive,30,1.0,0.0,0.4019,0.4019,1.0,100.0,40.400000000000006,1.0,1.0,1.0,4.0,0.0,10.0
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,9/11/20 2:49,photo,studying,negative,10,0.0,1.0,-0.3818,-0.3818,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29/9/20 16:00,photo,studying,negative,15,0.0,1.0,-0.4404,-0.4404,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,6.0
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29/11/20 21:33,photo,studying,negative,10,0.0,1.0,-0.3818,-0.3818,1.0,0.0,0.4,1.0,0.0,1.0,2.0,0.0,7.0
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13/2/21 7:54,photo,studying,positive,70,1.0,0.0,0.0772,0.0772,1.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,4.0
